i,Accuracy
50,0.35833333333333334
100,0.35833333333333334
150,0.35833333333333334
200,0.35833333333333334
250,0.35833333333333334
300,0.35833333333333334
350,0.35833333333333334
400,0.35833333333333334
450,0.35833333333333334
500,0.4027777777777778
550,0.44166666666666665
600,0.35833333333333334
650,0.45
700,0.2861111111111111
750,0.38333333333333336
800,0.5277777777777778
850,0.6527777777777778
900,0.5555555555555556
950,0.775
1000,0.7305555555555555
1050,0.8861111111111111
1100,0.9194444444444444
1150,0.65
1200,0.8972222222222223
1250,0.9
1300,0.9055555555555556
1350,1.0
1400,1.0
