i,time,loss
25,1.0289969444274902,1.0984887642557668
50,2.1944382190704346,1.0991794692053927
75,3.363149404525757,1.098974307112433
100,4.528005838394165,1.098793401865672
125,5.781104326248169,1.098450090471569
150,7.317445278167725,1.0985099673636158
175,8.7908775806427,1.0984126421498939
200,10.230726480484009,1.0985897510915195
225,11.633051872253418,1.0974863840182445
250,13.673308372497559,1.097490380749054
275,14.907365083694458,1.096145608768509
300,16.142118215560913,1.0866812262534524
325,17.410340785980225,1.0513068322205912
350,18.655174493789673,0.9418970147150877 
