i,loss
25,1.1011771821975709
50,1.1044410610198974
75,1.0891658878326416
100,1.1155563974380494
125,1.1020237302780151
150,1.0985176992416381
175,1.1021169090270997
200,1.0922053718566895
225,1.1047518968582153
250,1.0977827167510987
275,1.1108759450912475
300,1.0955052804946899
325,1.1026316833496095
350,1.0938863277435302
375,1.1008847904205323
400,1.097501926422119
425,1.1054719972610474
450,1.0984662580490112
475,1.096824998855591
500,1.0979776430130004
525,1.090941767692566
550,1.1024515151977539
575,1.0976213359832763
600,1.0938660383224488
625,1.10441162109375
650,1.0931901407241822
675,1.0927615976333618
700,1.0821285820007325
725,1.0941931056976317
750,1.0857748508453369
775,1.1017969751358032
800,1.0897188949584962
825,1.0872301483154296
850,1.0891091322898865
875,1.0681278753280639
900,1.0533725214004517
925,1.0744117212295532
950,1.074159743785858
975,1.0216889452934266
1000,1.0465302085876464
1025,0.9514377570152283
1050,0.9697939395904541
1075,0.9357194805145264
1100,0.9062017726898194
1125,0.8000526356697083
1150,0.8283435177803039
1175,0.7722406840324402
1200,0.7293166565895081
1225,0.8152494931221008
1250,0.8601785135269165
1275,0.7676799845695496
1300,0.750098512172699
1325,0.7503025555610656
1350,0.6812969827651978
1375,0.6397481656074524
1400,0.5941285157203674
1425,0.5980125117301941
