i,Accuracy
1000,0.4
2000,0.4066666666666667
3000,0.58
4000,0.7466666666666667
5000,0.78
6000,0.78
7000,0.8183333333333334
8000,0.8233333333333334
9000,0.82
10000,0.8066666666666666
11000,0.825
12000,0.825
13000,0.825
14000,0.825
15000,0.825
16000,0.825
17000,0.825
18000,0.825
19000,0.825
20000,0.825
21000,0.825
22000,0.825
23000,0.825
24000,0.825
25000,0.825
26000,0.825
27000,0.825
28000,0.825
29000,0.825
30000,0.825
31000,0.825
32000,0.825
33000,0.825
34000,0.825
35000,0.825
36000,0.825
37000,0.865
38000,1.0
39000,1.0
40000,1.0
41000,1.0
42000,1.0
43000,1.0
44000,1.0
