i,Accuracy
100,0.335
200,0.43166666666666664
300,0.43333333333333335
400,0.51
500,0.5333333333333333
600,0.7683333333333333
700,0.7466666666666667
800,0.7716666666666666
900,0.7766666666666666
1000,0.755
1100,0.7683333333333333
1200,0.7616666666666667
1300,0.7833333333333333
1400,0.7683333333333333
1500,0.77
1600,0.7866666666666666
1700,0.7466666666666667
1800,0.81
1900,0.7716666666666666
2000,0.7916666666666666
2100,0.7766666666666666
2200,0.8066666666666666
2300,0.815
2400,0.785
2500,0.7483333333333333
2600,0.775
2700,0.76
2800,0.8533333333333334
2900,0.8133333333333334
3000,0.77
3100,0.8483333333333334
3200,0.8416666666666667
3300,0.7983333333333333
3400,0.84
3500,0.8216666666666667
3600,0.9666666666666667
3700,1.0
3800,0.995
3900,1.0
4000,1.0
4100,0.9983333333333333
4200,0.995
4300,0.9933333333333333
4400,0.9966666666666667
4500,0.995
4600,0.99
4700,1.0
4800,1.0
4900,1.0
5000,0.99
5100,0.9966666666666667
5200,1.0
5300,1.0
5400,0.9983333333333333
5500,1.0
5600,1.0
5700,1.0
5800,1.0
5900,1.0
6000,0.9983333333333333
