i,Accuracy
25,0.305
50,0.29333333333333333
75,0.4033333333333333
100,0.4716666666666667
125,0.68
150,0.7416666666666667
175,0.7366666666666667
200,0.7333333333333333
225,0.7716666666666666
250,0.7483333333333333
275,0.7816666666666666
300,0.7783333333333333
325,0.81
350,0.82
375,0.8333333333333334
400,0.9483333333333334
425,0.99
450,0.9783333333333334
475,0.9916666666666667
500,0.995
525,0.9916666666666667
550,1.0
575,1.0
600,1.0
625,0.9966666666666667
650,1.0
675,1.0
700,1.0
725,1.0
750,1.0
775,1.0
800,1.0
825,1.0
850,1.0
875,1.0
900,1.0
925,1.0
950,1.0
975,1.0
1000,1.0
1025,1.0
1050,1.0
1075,1.0
1100,1.0
1125,1.0
1150,1.0
1175,1.0
1200,1.0
1225,1.0
1250,1.0
1275,1.0
1300,1.0
1325,1.0
1350,1.0
1375,1.0
1400,1.0
1425,1.0
1450,1.0
1475,1.0
1500,1.0
1525,1.0
1550,1.0
1575,1.0
1600,1.0
1625,1.0
1650,1.0
1675,1.0
1700,1.0
1725,1.0
1750,1.0
1775,1.0
1800,1.0
1825,1.0
1850,1.0
1875,1.0
1900,1.0
1925,1.0
1950,1.0
1975,1.0
2000,1.0
2025,1.0
2050,1.0
2075,1.0
2100,1.0
2125,1.0
2150,1.0
2175,1.0
2200,1.0
2225,1.0
2250,1.0
2275,1.0
2300,1.0
2325,1.0
2350,1.0
2375,1.0
2400,1.0
