i,loss,time
25,1.1003138732910156,0.5970067977905273
50,1.0993322324752808,0.976595401763916
75,1.0640156602859496,1.4076464176177979
100,1.0827714967727662,1.7843799591064453
125,1.0584843826293946,2.174072265625
150,1.055206959247589,2.5617473125457764
175,1.1154685997962952,2.9555504322052
200,1.1109906029701233,3.337193250656128
225,1.0657875108718873,3.765658378601074
250,1.033223147392273,4.182608604431152
275,1.1665182638168334,4.598840236663818
300,1.082641589641571,5.015866279602051
325,1.1170932173728942,5.4368603229522705
350,1.1006621551513671,5.859794855117798
375,1.0847337317466736,6.276953458786011
400,1.0908508968353272,6.6784632205963135
425,1.0954514265060424,7.0973663330078125
450,1.0573370957374573,7.4961395263671875
475,1.097245545387268,7.905000448226929
500,1.0533705830574036,8.311346769332886
525,1.1061731028556823,8.733202695846558
550,1.1112518072128297,9.13616418838501
575,1.0636932373046875,9.55354356765747
600,1.0885967588424683,9.965608835220337
625,1.0553561520576478,10.377418279647827
650,1.0778969526290894,10.798698425292969
675,1.1247295427322388,11.21965479850769
700,1.0810861110687255,11.645012378692627
725,1.0798462867736816,12.096629619598389
750,1.1107670164108276,12.56115460395813
775,1.0835208344459533,13.013249635696411
800,1.0875921511650086,13.457101821899414
825,1.031042490005493,13.937598943710327
850,1.0886544537544252,14.400300741195679
875,1.0188422846794127,14.902010202407837
900,1.0445885729789735,15.423298120498657
925,1.062123668193817,15.867813110351562
950,1.0109878921508788,16.308924198150635
975,1.0760498785972594,16.759031534194946
1000,0.9981612277030945,17.19345736503601
1025,1.049281620979309,17.643980503082275
1050,1.0622575783729553,18.08778166770935
1075,1.0972621440887451,18.53891658782959
1100,1.1360406637191773,18.981006145477295
1125,1.0718187165260316,19.44304084777832
1150,1.0741275119781495,19.952540159225464
1175,1.0557912635803222,20.46044611930847
1200,1.0623336505889893,20.930846691131592
1225,0.9828084111213684,21.36612367630005
1250,1.1007646465301513,21.83931827545166
1275,1.0714509224891662,22.301496028900146
1300,1.0353742194175721,22.74514079093933
1325,1.1230101108551025,23.184293508529663
1350,1.0601487684249877,23.630853176116943
1375,1.0617370653152465,24.063299655914307
1400,0.9895033264160156,24.500799894332886
1425,1.1064688491821288,24.954644918441772
1450,1.1455891036987305,25.40355110168457
1475,1.044601640701294,25.880100965499878
1500,1.0406430244445801,26.339570999145508
1525,1.1267599034309388,26.77433204650879
1550,1.043822832107544,27.208070993423462
1575,1.0433468556404113,27.647815704345703
1600,1.099023880958557,28.086793184280396
1625,1.117840929031372,28.533462524414062
1650,1.0405107808113099,29.002597332000732
1675,1.078450982570648,29.46509552001953
1700,1.0912384486198425,29.93070673942566
1725,1.0655242586135865,30.381689310073853
1750,1.0357767248153686,30.835359811782837
1775,1.1153034043312073,31.290491342544556
1800,1.003738696575165,31.74155831336975
1825,1.062254912853241,32.16317868232727
1850,1.0017078852653503,32.598275899887085
1875,1.0579770851135253,33.04352521896362
1900,1.0817518019676209,33.49713945388794
1925,1.031296305656433,33.985923051834106
1950,1.061917350292206,34.5357232093811
1975,1.065061936378479,35.06283903121948
2000,1.1025069808959962,35.58400774002075
2025,1.1321186447143554,36.057114601135254
2050,1.0550471472740173,36.51945900917053
2075,1.0453952050209045,37.00245118141174
2100,1.0210269141197204,37.45485329627991
2125,0.9749629354476929,37.911755323410034
2150,0.9989315176010132,38.366589307785034
2175,1.1677579021453857,38.814963817596436
2200,1.0439115738868714,39.25236368179321
2225,1.0825421023368835,39.708812952041626
2250,1.0097907090187073,40.148796796798706
2275,1.0700806546211243,40.58487796783447
2300,1.0292787432670594,41.02474856376648
2325,1.0517338633537292,41.485755920410156
2350,1.0980724120140075,41.94273042678833
2375,1.097130584716797,42.41027069091797
2400,1.0338037276268006,42.854087352752686
2425,1.0123148775100708,43.34515643119812
2450,1.089664068222046,43.77831268310547
2475,1.0397654128074647,44.2125039100647
2500,1.054799735546112,44.62547540664673
2525,1.0034880661964416,45.04014778137207
2550,1.0468332171440125,45.45683932304382
2575,1.046621503829956,45.87888026237488
2600,1.0521842193603517,46.296778440475464
2625,0.976747522354126,46.728647232055664
2650,1.0436154007911682,47.16176509857178
2675,0.9637720894813537,47.57148742675781
2700,1.0308332657814026,47.9869487285614
2725,0.9268126893043518,48.416669607162476
2750,0.9824926137924195,48.82428741455078
2775,0.9282246255874633,49.24350047111511
2800,0.9560884308815002,49.68252944946289
2825,0.886300938129425,50.11473369598389
2850,0.8730138635635376,50.53685021400452
2875,0.9346816730499268,50.95887899398804
2900,0.873381028175354,51.393848180770874
2925,0.876714985370636,51.85521697998047
2950,0.8635113334655762,52.281898498535156
2975,0.8375094079971314,52.71340322494507
3000,0.9610399222373962,53.13352298736572
3025,0.7961431360244751,53.59973621368408
3050,0.840164213180542,54.01825737953186
3075,0.7695289993286133,54.45667243003845
3100,0.798754267692566,54.880940437316895
3125,0.9633490180969239,55.33395195007324
3150,0.8362202501296997,55.75451993942261
3175,0.7830100989341736,56.18496775627136
3200,0.7989434528350831,56.61634588241577
3225,0.8177919554710388,57.035531997680664
3250,0.7793614506721497,57.44619131088257
3275,0.8139778852462769,57.88772988319397
3300,0.9241218280792236,58.31468343734741
3325,0.8032788896560669,58.81308841705322
3350,0.7830558896064759,59.31117606163025
3375,0.6430153846740723,59.74055767059326
3400,0.9260654640197754,60.16086435317993
3425,0.8049028921127319,60.63955807685852
3450,0.7631529521942139,61.098429441452026
3475,0.64694580078125,61.56264638900757
3500,0.7667055726051331,62.0425820350647
3525,0.7240439748764038,62.50582695007324
3550,0.679741177558899,62.93386483192444
3575,0.8580564403533936,63.35864520072937
3600,0.7634733247756958,63.79162955284119
3625,0.5991033267974853,64.25114345550537
3650,0.7637531423568725,64.6846570968628
3675,0.7024620652198792,65.13272595405579
3700,0.6782339572906494,65.58440375328064
3725,0.6930350828170776,66.0427017211914
3750,0.713914623260498,66.47239899635315
3775,0.8350651192665101,66.91770958900452
3800,0.7961614036560059,67.35764694213867
3825,0.7492648434638977,67.8392276763916
3850,0.8509784722328186,68.2870421409607
3875,0.831594033241272,68.74320960044861
3900,0.6418936133384705,69.1811933517456
3925,0.7524565434455872,69.64376258850098
3950,0.7865337085723877,70.0691978931427
3975,0.6970811891555786,70.52473139762878
4000,0.8224065637588501,70.96443748474121
4025,0.6728773021697998,71.43902325630188
4050,0.778492648601532,71.86847925186157
4075,0.7760793232917785,72.31345629692078
4100,0.7722549748420715,72.74547576904297
4125,0.7462518739700318,73.19310760498047
4150,0.8238438391685485,73.61020994186401
4175,0.6865574479103088,74.05017232894897
4200,0.7261279630661011,74.47998929023743
4225,0.6671841478347779,74.94537472724915
4250,0.6723218011856079,75.3800847530365
4275,0.6719883227348328,75.81662034988403
4300,0.7842671704292298,76.22894787788391
4325,0.7043944859504699,76.68871831893921
4350,0.7123652338981629,77.14010047912598
4375,0.8044777989387513,77.59819483757019
4400,0.7746690392494202,78.05060195922852
4425,0.8206890988349914,78.5409996509552
4450,0.7389190816879272,79.00175881385803
4475,0.7910501337051392,79.47631049156189
4500,0.822469527721405,79.92954993247986
4525,0.7443216848373413,80.39398860931396
4550,0.6706650424003601,80.84388637542725
4575,0.6730084419250488,81.31834697723389
4600,0.7564225125312806,81.75813245773315
4625,0.8695911169052124,82.22727179527283
4650,0.7907609677314759,82.66326999664307
4675,0.669453341960907,83.11461091041565
4700,0.6695161938667298,83.54085421562195
4725,0.7142206525802612,83.99991202354431
4750,0.7026440334320069,84.43158721923828
4775,0.7431340551376343,84.87000274658203
4800,0.6324453258514404,85.29954385757446
4825,0.7193464684486389,85.85824060440063
4850,0.665015640258789,86.30218482017517
4875,0.666142156124115,86.76742672920227
4900,0.7795255541801452,87.1976146697998
4925,0.8479766201972961,87.64507365226746
4950,0.7070941901206971,88.07213068008423
4975,0.7615478539466858,88.51695370674133
5000,0.8115947890281677,88.94733476638794
5025,0.6254303145408631,89.40282011032104
5050,0.7496662187576294,89.83984398841858
5075,0.7089817380905151,90.2621202468872
5100,0.7010603141784668,90.68229722976685
5125,0.668131308555603,91.1370222568512
5150,0.7851268935203553,91.56263637542725
5175,0.8171564388275147,91.99240517616272
5200,0.7064694786071777,92.40860962867737
5225,0.6653293371200562,92.86352372169495
5250,0.6360943007469178,93.30019783973694
5275,0.6667172980308532,93.72256827354431
5300,0.7101444959640503,94.15278244018555
5325,0.6408167409896851,94.59894323348999
5350,0.7458920764923096,95.01693344116211
5375,0.6624791145324707,95.45170259475708
5400,0.6649591517448425,95.86659932136536
5425,0.6724763584136962,96.31771039962769
5450,0.7456391263008117,96.74886679649353
5475,0.5889088082313537,97.19292140007019
5500,0.6633556056022644,97.62652850151062
5525,0.7064395141601563,98.07640171051025
5550,0.7594499945640564,98.50601696968079
5575,0.8104292321205139,98.9388906955719
5600,0.6713487935066224,99.3659679889679
5625,0.7841991448402404,99.80510067939758
5650,0.7454605865478515,100.2190294265747
5675,0.7433952522277832,100.6484010219574
5700,0.7458552527427673,101.0546510219574
5725,0.626642758846283,101.51431274414062
5750,0.6631543588638306,101.92830085754395
5775,0.7853162574768067,102.34959483146667
5800,0.6645929312705994,102.88391351699829
5825,0.7750080633163452,103.33353900909424
5850,0.7430608701705933,103.74873685836792
5875,0.7415876793861389,104.16996550559998
5900,0.7104127907752991,104.60638689994812
5925,0.7026613402366638,105.05727744102478
5950,0.6264375758171081,105.46849918365479
5975,0.6274922394752502,105.91849040985107
6000,0.7445781135559082,106.35909366607666
6025,0.8181125283241272,106.79547095298767
6050,0.711046826839447,107.22144079208374
6075,0.700063636302948,107.67990040779114
6100,0.5891651248931885,108.10993456840515
6125,0.7357687687873841,108.55441522598267
6150,0.7395240449905396,108.98367166519165
6175,0.6643630766868591,109.40572142601013
6200,0.8177922153472901,109.82338547706604
6225,0.6732658958435058,110.28515362739563
6250,0.6670214033126831,110.71211552619934
6275,0.592567138671875,111.14717125892639
6300,0.7847038006782532,111.56761288642883
6325,0.8495884442329407,112.02235746383667
6350,0.9671453237533569,112.45675945281982
6375,0.78306067943573,112.88456583023071
6400,0.6243243908882141,113.31836295127869
6425,0.6697661638259887,113.7718915939331
6450,0.6856591057777405,114.18260383605957
6475,0.713222804069519,114.6114342212677
6500,0.6767989420890808,115.02529191970825
6525,0.7044530820846557,115.46766185760498
6550,0.699877290725708,115.88256907463074
6575,0.8500823283195496,116.30663442611694
6600,0.7501132202148437,116.72210454940796
6625,0.803781487941742,117.16901350021362
6650,0.6700084066390991,117.5876829624176
6675,0.5899077987670899,118.01834392547607
6700,0.7021687459945679,118.4438693523407
6725,0.7070469760894775,118.89503526687622
6750,0.7640128016471863,119.33639073371887
6775,0.7132149028778076,119.77945613861084
6800,0.781837842464447,120.2096381187439
6825,0.6700092506408691,120.65698266029358
6850,0.7828885912895203,121.06437587738037
6875,0.7784036469459533,121.49908518791199
6900,0.7037213039398194,121.91692185401917
6925,0.7412382984161376,122.35868644714355
6950,0.7815067553520203,122.78144478797913
6975,0.6688554430007935,123.20870161056519
7000,0.7032461261749268,123.63871479034424
7025,0.7379602289199829,124.08285546302795
7050,0.7023990797996521,124.49906373023987
7075,0.776042013168335,124.93078112602234
7100,0.774805772304535,125.35643291473389
7125,0.7015442824363709,125.81269764900208
7150,0.7043137431144715,126.24239182472229
7175,0.6304962754249572,126.68668723106384
7200,0.8980485129356385,127.13471627235413
7225,0.627013623714447,127.66466403007507
7250,0.9289253973960876,128.09028315544128
7275,0.7149914956092834,128.52655220031738
7300,0.688971745967865,128.93901944160461
7325,0.7471365237236023,129.39454102516174
7350,0.7056311678886413,129.80921053886414
7375,0.6650331783294677,130.23596692085266
7400,0.7465965175628662,130.6440088748932
7425,0.7898545646667481,131.08356165885925
7450,0.7484696698188782,131.49449014663696
7475,0.7430636048316955,131.9094934463501
7500,0.7060500717163086,132.31955885887146
7525,0.8180989265441895,132.76777839660645
