i,Accuracy
1000,0.4166666666666667
2000,0.4166666666666667
3000,0.6633333333333333
4000,0.785
5000,0.7966666666666666
6000,0.8
7000,0.8016666666666666
8000,0.835
9000,0.9116666666666666
10000,0.965
11000,0.9583333333333334
12000,0.955
13000,0.9633333333333334
14000,0.965
15000,0.9666666666666667
16000,0.965
17000,0.9633333333333334
18000,0.965
19000,0.9666666666666667
20000,0.965
21000,0.9666666666666667
22000,0.9666666666666667
23000,0.9666666666666667
24000,0.965
25000,0.9666666666666667
26000,0.9666666666666667
27000,0.9666666666666667
