i,Accuracy
100,0.385
200,0.4166666666666667
300,0.385
400,0.385
500,0.42833333333333334
600,0.4166666666666667
700,0.4166666666666667
800,0.385
900,0.385
1000,0.385
1100,0.4166666666666667
1200,0.4166666666666667
1300,0.4166666666666667
1400,0.385
1500,0.4166666666666667
1600,0.4166666666666667
1700,0.4166666666666667
1800,0.4033333333333333
1900,0.4716666666666667
2000,0.4866666666666667
2100,0.45166666666666666
2200,0.5266666666666666
2300,0.7633333333333333
2400,0.7533333333333333
2500,0.7383333333333333
2600,0.76
2700,0.775
2800,0.7883333333333333
2900,0.8316666666666667
3000,0.8066666666666666
3100,0.9
3200,0.905
3300,0.8983333333333333
3400,0.8516666666666667
3500,0.9066666666666666
3600,0.8666666666666667
3700,0.9083333333333333
3800,0.9016666666666666
3900,0.8833333333333333
4000,0.8966666666666666
4100,0.9116666666666666
4200,0.9116666666666666
4300,0.9133333333333333
4400,0.9
4500,0.9116666666666666
4600,0.8783333333333333
4700,0.8983333333333333
4800,0.91
4900,0.9133333333333333
5000,0.9116666666666666
5100,0.91
5200,0.91
5300,0.91
5400,0.85
5500,0.8966666666666666
5600,0.91
5700,0.9133333333333333
